run,frame_id,elapsed_s,timestamp_ns,image,label,confidence,supported,class_and_score_pass,bounds,tracking
NaVi-collect-20260919-022341-193-a2b8792d,227,46.852,357143556461622,images/227.png,car,0.59375,True,False,"[0.85, 0.3265625, 0.99583334, 0.4296875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,229,47.26,357143958115992,images/229.png,car,0.4296875,True,False,"[0.79791665, 0.203125, 0.99375, 0.4546875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,229,47.26,357143958115992,images/229.png,car,0.40625,True,False,"[0.14791666, 0.3453125, 0.44166666, 0.48125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,229,47.26,357143958115992,images/229.png,car,0.38671875,True,False,"[0.46041667, 0.246875, 0.7375, 0.4390625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,234,48.259,357144961083045,images/234.png,car,0.5234375,True,False,"[0.2375, 0.4125, 0.5083333, 0.525]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,236,48.65,357145363162720,images/236.png,car,0.38671875,True,False,"[0.24166666, 0.3734375, 0.41875, 0.4515625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,237,48.863,357145564004754,images/237.png,car,0.40625,True,False,"[0.15833333, 0.415625, 0.26875, 0.4609375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,237,48.863,357145564004754,images/237.png,person,0.36328125,True,False,"[0.083333336, 0.3625, 0.15208334, 0.475]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,239,49.258,357145964603039,images/239.png,car,0.4765625,True,False,"[0.0125, 0.4234375, 0.2125, 0.5203125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,241,49.691,357146365333409,images/241.png,car,0.40625,True,False,"[0, 0.4390625, 0.09166667, 0.5296875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,243,50.068,357146766289789,images/243.png,cat,0.453125,False,False,"[0.0125, 0, 0.98333335, 0.5046875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,248,51.054,357147769323166,images/248.png,car,0.40625,True,False,"[0.079166666, 0.3015625, 0.30833334, 0.4296875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,248,51.054,357147769323166,images/248.png,car,0.38671875,True,False,"[0, 0.4109375, 0.058333334, 0.4953125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,249,51.262,357147970038906,images/249.png,car,0.5234375,True,False,"[0.45625, 0.234375, 0.77916664, 0.4015625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,249,51.262,357147970038906,images/249.png,car,0.4296875,True,False,"[0.825, 0.1765625, 0.9895833, 0.2953125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,249,51.262,357147970038906,images/249.png,car,0.38671875,True,False,"[0.15416667, 0.1875, 0.43125, 0.371875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,250,51.478,357148170562943,images/250.png,train,0.38671875,False,False,"[0, 0.315625, 0.32916668, 0.4859375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,253,52.073,357148772486165,images/253.png,person,0.38671875,True,False,"[0.5083333, 0.371875, 0.55625, 0.4515625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,266,54.668,357151380438457,images/266.png,person,0.36328125,True,False,"[0, 0.23125, 0.20625, 0.5546875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,269,55.281,357151982212190,images/269.png,boat,0.36328125,False,False,"[0, 0.3890625, 0.9895833, 0.9875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,271,55.681,357152383428181,images/271.png,boat,0.40625,False,False,"[0, 0.3671875, 0.97083336, 0.9890625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,276,56.696,357153387090128,images/276.png,car,0.546875,True,False,"[0.38333333, 0.3328125, 0.48958334, 0.38125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,276,56.696,357153387090128,images/276.png,car,0.4765625,True,False,"[0.50625, 0.3140625, 0.66041666, 0.390625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,291,59.704,357156396253289,images/291.png,cat,0.38671875,False,False,"[0, 0.0140625, 0.44791666, 0.5375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,309,63.302,357160006658818,images/309.png,cat,0.38671875,False,False,"[0.014583333, 0.2265625, 0.9479167, 0.7921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,312,63.916,357160608628285,images/312.png,bicycle,0.40625,True,False,"[0.31875, 0.4765625, 0.6125, 0.775]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,316,64.77,357161410834903,images/316.png,person,0.38671875,True,False,"[0, 0.0609375, 0.25625, 0.9921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,317,64.909,357161611482894,images/317.png,person,0.40625,True,False,"[0.60833335, 0.0109375, 0.98541665, 0.840625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,317,64.909,357161611482894,images/317.png,person,0.36328125,True,False,"[0.035416666, 0.028125, 0.37083334, 0.796875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,318,65.122,357161812113902,images/318.png,person,0.38671875,True,False,"[0.08958333, 0.05, 0.48958334, 0.9484375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,318,65.122,357161812113902,images/318.png,person,0.36328125,True,False,"[0.7375, 0.034375, 1, 0.9140625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,320,65.509,357162214181708,images/320.png,person,0.5703125,True,False,"[0.65416664, 0.1109375, 0.9895833, 0.865625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,325,66.523,357163216700367,images/325.png,motorcycle,0.40625,True,False,"[0.03125, 0.1859375, 1, 0.95625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,335,68.524,357165223624810,images/335.png,dog,0.5703125,False,False,"[0.029166667, 0.28125, 0.9291667, 0.9921875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,335,68.524,357165223624810,images/335.png,car,0.36328125,True,False,"[0.0020833334, 0.14375, 0.34375, 0.284375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,336,68.739,357165424140093,images/336.png,bear,0.4296875,False,False,"[0.016666668, 0.3125, 0.8979167, 0.984375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,336,68.739,357165424140093,images/336.png,car,0.36328125,True,False,"[0.010416667, 0.025, 0.48541668, 0.271875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,337,68.93,357165624415685,images/337.png,dog,0.5703125,False,False,"[0.083333336, 0.4109375, 0.8229167, 0.9875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,342,69.93,357166627457294,images/342.png,cat,0.38671875,False,False,"[0, 0.246875, 0.68541664, 0.959375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,343,70.128,357166828868983,images/343.png,fire hydrant,0.453125,False,False,"[0.25833333, 0.328125, 0.30833334, 0.4234375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,344,70.337,357167029374482,images/344.png,cat,0.63671875,False,False,"[0.004166667, 0.215625, 0.99375, 0.9984375]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,346,70.736,357167430408321,images/346.png,fire hydrant,0.5234375,False,False,"[0.525, 0.1765625, 0.57916665, 0.2875]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,351,71.734,357168433002205,images/351.png,cat,0.36328125,False,False,"[0.004166667, 0.021875, 0.9916667, 1]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,367,74.963,357171643288748,images/367.png,cat,0.40625,False,False,"[0.004166667, 0.378125, 0.99375, 1]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,378,77.166,357173850263795,images/378.png,cat,0.5,False,False,"[0.052083332, 0.4578125, 0.98541665, 0.98125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,379,77.359,357174050898445,images/379.png,cat,0.4296875,False,False,"[0.008333334, 0.0265625, 0.9875, 0.9703125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,381,77.754,357174451916405,images/381.png,elephant,0.4765625,False,False,"[0.004166667, 0.6109375, 0.6020833, 0.9953125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,382,77.954,357174652373095,images/382.png,bear,0.453125,False,False,"[0, 0.04375, 0.96875, 0.8453125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,382,77.954,357174652373095,images/382.png,elephant,0.38671875,False,False,"[0.17291667, 0.5984375, 0.6125, 0.990625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,385,78.566,357175254562606,images/385.png,car,0.36328125,True,False,"[0, 0.0046875, 0.50208336, 0.15625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,386,78.768,357175455408065,images/386.png,car,0.5,True,False,"[0.022916667, 0, 0.4625, 0.1578125]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,396,80.789,357177461298756,images/396.png,person,0.5,True,False,"[0.008333334, 0.009375, 0.9875, 0.9890625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,398,81.156,357177862861289,images/398.png,bird,0.453125,False,False,"[0.054166667, 0.0078125, 0.9791667, 0.9515625]",TRACKING
NaVi-collect-20260919-022341-193-a2b8792d,404,82.362,357179066113755,images/404.png,bed,0.40625,False,False,"[0.0125, 0.05, 1, 0.984375]",TRACKING
